"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","35.190.80.1","192.168.32.11","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"2","0.000106","192.168.32.11","35.190.80.1","TCP","54","51130  >  443 [ACK] Seq=1 Ack=213 Win=4092 Len=0"
"3","0.004110","192.168.32.11","35.190.80.1","TLSv1.3","118","Change Cipher Spec, Application Data"
"4","0.004499","192.168.32.11","35.190.80.1","TLSv1.3","146","Application Data"
"5","0.004828","192.168.32.11","35.190.80.1","TLSv1.3","489","Application Data"
"6","0.004875","192.168.32.11","35.190.80.1","TLSv1.3","277","Application Data"
"7","0.008078","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=213 Ack=65 Win=261 Len=0"
"8","0.008082","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=213 Ack=157 Win=261 Len=0"
"9","0.008924","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=213 Ack=592 Win=284 Len=0"
"10","0.008928","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=213 Ack=815 Win=307 Len=0"
"11","0.029804","35.190.80.1","192.168.32.11","TLSv1.3","672","Application Data, Application Data"
"12","0.029906","192.168.32.11","35.190.80.1","TCP","54","51130  >  443 [ACK] Seq=815 Ack=831 Win=4086 Len=0"
"13","0.030094","192.168.32.11","35.190.80.1","TLSv1.3","85","Application Data"
"14","0.034698","35.190.80.1","192.168.32.11","TLSv1.3","85","Application Data"
"15","0.034807","192.168.32.11","35.190.80.1","TCP","54","51130  >  443 [ACK] Seq=846 Ack=862 Win=4095 Len=0"
"16","0.073114","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=862 Ack=846 Win=307 Len=0"
"17","0.128975","192.168.235.51","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"18","0.232334","192.168.235.51","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"19","0.243661","57.144.55.33","192.168.32.11","TCP","174","5222  >  50283 [PSH, ACK] Seq=1 Ack=1 Win=694 Len=108 TSval=4222141350 TSecr=892698642 [TCP PDU reassembled in 989]"
"20","0.243794","192.168.32.11","57.144.55.33","TCP","66","50283  >  5222 [ACK] Seq=1 Ack=109 Win=2031 Len=0 TSval=892740325 TSecr=4222141350"
"21","0.264140","35.190.80.1","192.168.32.11","TLSv1.3","290","Application Data"
"22","0.264233","192.168.32.11","35.190.80.1","TCP","54","51130  >  443 [ACK] Seq=846 Ack=1098 Win=4092 Len=0"
"23","0.264862","192.168.32.11","35.190.80.1","TLSv1.3","93","Application Data"
"24","0.264862","192.168.32.11","35.190.80.1","TLSv1.3","89","Application Data"
"25","0.264982","192.168.32.11","35.190.80.1","TLSv1.3","263","Application Data"
"26","0.265014","192.168.32.11","35.190.80.1","TLSv1.3","1148","Application Data"
"27","0.267152","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1098 Ack=885 Win=307 Len=0"
"28","0.267161","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1098 Ack=920 Win=307 Len=0"
"29","0.267517","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1098 Ack=1129 Win=330 Len=0"
"30","0.267520","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1098 Ack=2223 Win=352 Len=0"
"31","0.267521","35.190.80.1","192.168.32.11","TLSv1.3","140","Application Data"
"32","0.267659","192.168.32.11","35.190.80.1","TCP","54","51130  >  443 [ACK] Seq=2223 Ack=1184 Win=4094 Len=0"
"33","0.268149","192.168.32.11","35.190.80.1","TLSv1.3","89","Application Data"
"34","0.268331","192.168.32.11","35.190.80.1","TLSv1.3","249","Application Data"
"35","0.268388","192.168.32.11","35.190.80.1","TLSv1.3","518","Application Data"
"36","0.270357","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1184 Ack=2453 Win=375 Len=0"
"37","0.313259","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1184 Ack=2917 Win=398 Len=0"
