2026-02-13 21:18:36|SYSTEM|INFO|Log Ingestor Initialized
2026-02-13 21:18:37 | TestSource | HIGH | TEST-LOG-1770997717
2026-02-20 14:31:27 | SOC_WATCHER | INFO | Monitor Loop Active
2026-02-20 14:31:27 | SOC_WATCHER | INFO | Background Monitor Thread Started
2026-02-20 14:31:52 | SOC_WATCHER | INFO | DNS Query detected from 214.253.180.67
2026-02-20 14:32:09 | SOC_WATCHER | INFO | Web Request detected from 19.253.28.170
2026-02-20 14:32:58 | SOC_WATCHER | INFO | DNS Query detected from 60.170.81.72
2026-02-20 14:33:16 | SOC_WATCHER | INFO | Port Scan detected from 95.198.142.86
2026-02-20 14:33:30 | SOC_WATCHER | INFO | Failed Login detected from 37.230.17.47
2026-02-20 14:33:44 | SOC_WATCHER | INFO | Port Scan detected from 81.33.36.24
2026-02-20 14:33:44 | SOC_WATCHER | CRITICAL | Unauthorized Access from 135.143.83.87
2026-02-20 14:34:05 | SOC_WATCHER | INFO | Port Scan detected from 123.10.237.1
2026-02-20 14:34:23 | SOC_WATCHER | INFO | Web Request detected from 59.246.79.227
2026-02-20 14:34:39 | SOC_WATCHER | INFO | Port Scan detected from 58.67.222.180
2026-02-20 14:35:12 | SOC_WATCHER | INFO | Port Scan detected from 54.186.225.161
2026-02-20 14:35:26 | SOC_WATCHER | INFO | Port Scan detected from 133.141.60.151
2026-02-20 14:35:40 | SOC_WATCHER | INFO | DNS Query detected from 126.41.153.144
2026-02-20 14:36:15 | SOC_WATCHER | INFO | Failed Login detected from 107.227.1.100
2026-02-20 14:36:29 | SOC_WATCHER | INFO | DNS Query detected from 43.123.122.228
2026-02-20 14:36:44 | SOC_WATCHER | INFO | Port Scan detected from 136.58.230.46
2026-02-20 14:37:16 | SOC_WATCHER | INFO | DNS Query detected from 91.189.223.181
2026-02-20 14:37:32 | SOC_WATCHER | INFO | Web Request detected from 54.225.92.249
2026-02-20 14:37:47 | SOC_WATCHER | INFO | Failed Login detected from 125.74.93.62
2026-02-20 14:38:03 | SOC_WATCHER | INFO | Web Request detected from 182.210.243.191
2026-02-20 14:38:50 | SOC_WATCHER | INFO | Web Request detected from 219.206.194.205
2026-02-20 14:39:24 | SOC_WATCHER | INFO | DNS Query detected from 23.45.187.61
2026-02-20 14:39:37 | SOC_WATCHER | INFO | Web Request detected from 26.58.143.128
2026-02-20 14:39:55 | SOC_WATCHER | INFO | Failed Login detected from 131.74.215.18
2026-02-20 14:39:55 | SOC_WATCHER | CRITICAL | Malware C2 from 134.188.173.29
